"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18"
1;4;5;6;5;5;5;6;4;6;5;5;6;5;6;4;6;4;6
2;7;5;6;4;6;3;6;3;5;5;6;5;5;4;3;7;4;7
3;6;5;5;4;5;4;5;4;4;5;5;6;4;6;4;5;3;5
4;3;3;3;4;7;4;5;3;4;6;6;5;3;4;3;4;3;4
5;3;3;4;3;6;4;3;3;4;5;4;5;4;5;3;5;3;5
6;3;4;5;4;5;4;5;3;7;8;7;6;3;6;6;6;7;5
7;4;4;5;4;6;4;3;5;4;5;4;4;3;4;3;5;3;4
8;3;4;5;3;5;5;3;4;4;5;3;5;4;8;3;4;3;5
9;5;4;5;4;6;4;5;3;4;7;4;4;4;5;3;5;3;6
10;3;3;5;3;5;4;4;3;4;7;4;4;3;4;4;6;3;4
11;7;5;5;3;6;6;5;3;5;6;4;6;4;6;5;5;4;8
12;3;3;6;3;5;6;3;5;5;9;4;5;3;5;3;4;3;5
13;5;5;4;3;6;7;4;3;4;9;5;6;4;5;5;5;3;4
14;4;5;4;4;8;4;4;3;7;4;4;5;3;3;3;5;3;4
15;6;5;6;3;6;4;5;3;3;5;4;5;3;4;4;5;6;4
16;6;4;7;3;6;3;6;3;5;5;4;6;5;5;4;7;4;4
17;3;3;4;4;6;4;5;4;4;5;4;5;3;4;4;6;4;5
18;4;5;3;4;6;4;5;4;4;7;6;5;4;5;4;6;4;4
19;6;4;6;3;6;3;5;3;4;6;5;5;3;3;6;4;3;6
20;5;4;5;4;8;6;5;3;4;7;5;5;4;6;3;3;4;7
21;5;4;6;3;5;4;5;3;4;5;5;4;3;5;4;4;3;5
22;5;3;3;4;5;4;4;4;4;6;4;5;3;4;4;4;3;5
23;7;6;4;4;6;3;4;3;4;6;6;5;3;6;3;4;3;5
24;5;4;5;3;6;6;5;4;5;6;6;5;3;5;3;6;3;5
25;3;4;4;5;5;5;4;3;4;4;4;5;3;4;4;5;4;5
