Valeur de l'indice boursier (valeur de départ = 100 partout);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numéro de la série;1;;2;;3;4;5;6;7;;8;9;10;10;11;12;13;14;12;13;14;18;15;20;21;16;23;24;25;17;18;28;29;30;31;32;19;34;35;36;37;38;39;40;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-01-30;100;NA;100;NA;100;100;100,000;100;100;NA;100;100;100;NA;100;NA;NA;NA;100;100;100;NA;100;NA;NA;100;NA;NA;NA;100;100;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
1976-02-27;98,486;NA;99,383;NA;92,886;95,232;102,148;96,92;103,938;NA;98,978;104,183;103,941;NA;105,587;NA;NA;NA;97,5;100,051;102,493;NA;96,232;NA;NA;101,067;NA;NA;NA;94,638;104,033;NA;NA;NA;NA;NA;100,678;NA;NA;NA;NA;NA;NA;NA;94,528;99,23;98,92;98,209;99,12;93,641;97,746;97,904;97,544;93,255;94,363;99,458;98,697;98,994;99,317;99,265;98,82;94,478
1976-03-31;99,768;NA;94,182;NA;98,13;92,512;107,005;95,85;101,171;NA;100,575;101,428;109,047;NA;113,115;NA;NA;NA;95,886;98,924;107,088;NA;90,238;NA;NA;101,267;NA;NA;NA;95,525;102,299;NA;NA;NA;NA;NA;99,241;NA;NA;NA;NA;NA;NA;NA;97,558;96,248;96,682;98,928;97,732;98,756;97,532;96,689;92,511;98,034;97,47;98,191;97,886;96,154;96,266;97,897;100,391;97,599
1976-04-30;103,893;NA;96,612;NA;98,729;93,39;85,883;95,575;100,13;NA;98,053;105,097;105,739;NA;117,773;NA;NA;NA;95,857;98,416;108,227;NA;92,891;NA;NA;101,957;NA;NA;NA;96,899;107,371;NA;NA;NA;NA;NA;96,918;NA;NA;NA;NA;NA;NA;NA;97,947;97,56;98,234;101,497;98,219;99,416;97,519;96,679;94,845;98,161;97,695;99,684;99,008;97,261;97,647;98,433;104,311;98,003
1976-05-31;91,389;NA;86,858;NA;90,2;89,142;80,685;84,926;94,308;NA;91,945;104,872;97,249;NA;118,334;NA;NA;NA;86,782;101,021;95,896;NA;83,629;NA;NA;100,935;NA;NA;NA;90,929;104,613;NA;NA;NA;NA;NA;93,411;NA;NA;NA;NA;NA;NA;NA;88,877;90,49;90,098;90,138;93,114;90,758;88,047;86,578;86,881;88,52;88,774;90,933;91,658;89,88;90,68;93,696;92,614;88,968
1976-06-30;89,027;NA;82,614;NA;85,125;80,844;84,940;79,47;91,884;NA;91,681;95,026;92,802;NA;115,137;NA;NA;NA;84,604;101,202;86,828;NA;77,98;NA;NA;97,124;NA;NA;NA;88,813;100,616;NA;NA;NA;NA;NA;89,913;NA;NA;NA;NA;NA;NA;NA;83,357;85,756;85,658;86,791;88,025;85,482;83,091;80,234;81,656;82,778;83,119;85,786;87,124;85,08;85,815;88,337;90,287;83,446
1976-07-30;90,73;NA;86,466;NA;81,667;77,929;85,929;89,789;89,812;NA;92,387;90,617;96,366;NA;120,788;NA;NA;NA;85,101;103,864;87,15;NA;83,57;NA;NA;98,128;NA;NA;NA;88,925;105,803;NA;NA;NA;NA;NA;90,127;NA;NA;NA;NA;NA;NA;NA;81,389;86,867;87,566;91,394;87,13;82,65;92,438;81,144;86,575;80,01;81,001;88,068;88,087;87,024;86,957;87,313;92,136;81,22
1976-08-31;90,997;NA;89,798;NA;87,823;82,744;91,170;92,703;95,094;NA;93,348;93,198;98,692;NA;129,612;NA;NA;NA;88,384;105,161;92,791;NA;91,045;NA;NA;104,009;NA;NA;NA;96,773;113,389;NA;NA;NA;NA;NA;86,911;NA;NA;NA;NA;NA;NA;NA;86,525;91,099;91,099;92,792;92,018;88,733;95,709;84,385;92,789;85,39;86,343;92,045;91,718;91,132;91,238;92,349;92,81;86,404
